id	addr:city	addr:postcode	addr:street	amenity	cuisine	int_name	name	name:en	opening_hours	website	wheelchair	internet_access	name:mk	phone	email	phone:1	phone:2	outdoor_seating	smoking	takeaway	payment:american_express	payment:coins	payment:maestro	payment:mastercard	payment:notes	payment:visa	payment:visa_electron	phone:3	capacity	delivery	stars	payment:cash	payment:credit_cards	coordinates_x	coordinates_y
node/2248576375				restaurant		Straža	??????	Strazha																										20.8544996	41.6714632
node/2292333295				restaurant			??????																											21.5546262	41.3459768
node/2292437665				restaurant			???? ??????	Pink Panter			limited																							21.5543097	41.3453989
node/2292486455				restaurant		Paradizo	????????	Paradizo			yes																							21.5543797	41.3460137
node/2294320125				restaurant			??? ?????	Dva Elena																										21.4080594	41.993167
node/2316032925				restaurant			?????????? ????																											20.8016318	41.076418
node/2316119134				restaurant			?????																											22.4104224	41.9176668
node/2316156248				restaurant	pizza		Pizza Metro																											21.3356564	41.0295644
node/2316156279				restaurant			???????? ???																											21.3368286	41.0256207
node/2320912360				restaurant			Aquarium																											22.4104385	41.9172558
node/2320912421				restaurant			Balkanlux																											22.4102588	41.918076
node/2320923929				restaurant			Bakery Kamel																											22.4101783	41.9187207
node/2322886873				restaurant	regional	Arabeska	????????	Arabesque																										21.4302915	41.9952825
node/2324290153				restaurant	macedonian	Oreov Lad	????? ???	Oreov Lad																										21.3323916	42.003391
node/2324482598				restaurant																														22.5037713	41.1404895
node/2333163643				restaurant	regional		????? ?????																											21.2993843	41.9502955
node/2334423406				restaurant	regional		??????????? ???????																											21.2961533	41.9610975
node/2349862721				restaurant																														21.100296	42.1441306
node/2357239839				restaurant	italian;pizza;regional		Gallery																											20.9594822	41.5118075
node/2360748743				restaurant			???-3																											22.5011779	41.146047
node/2377937978				restaurant			Restoran Gros																											20.8123651	41.1084477
node/2377938382				restaurant			???????? ????????? ??????	Biljanini Izvori Restaurant																										20.8148703	41.1028959
node/2377968960				restaurant																														20.8086261	41.1127562
node/2377968987				restaurant																														20.8091572	41.1120004
node/2377969305				restaurant				Lihnidos																										20.7987652	41.1126257
node/2377969373				restaurant																														20.8079475	41.104151
node/2387561655				restaurant	regional		Atva																											20.9508952	41.5115542
node/2406002719	????????	MK-2400	???? ??????	restaurant	regional		????																											22.6452777	41.4378354
node/2411306190				restaurant		Javor Agapi	????? ?????	Javor Agapi																										22.4963093	41.1622759
node/2411329687				restaurant	fish		???																											21.4117168	42.0131608
node/2465901189			Neretva	restaurant	regional		Loven Dom																											22.6328921	41.4352537
node/2477123089				restaurant	regional	Etno Selo	???? ????	Etno Village																										21.862568	42.1574944
node/2477129912				restaurant	fish		Fratelis																											21.8645555	42.1324603
node/2535205987				restaurant			Buki																											22.0130335	41.4327641
node/2557554508				restaurant		Idila	?????	Idila																										22.9422359	41.7297622
node/2574272022	????? ???????		Konopnica	restaurant	regional		?????																						150					22.3059103	42.1902652
node/2574272026	Kriva Palanka	1330		restaurant	regional		??????																											22.3089155	42.192289
node/2578029326	????? ???????	1330	Marshal Tito	restaurant	regional		??????????																											22.3466279	42.2123127
node/2580192144				restaurant		Gradina	???????	Gradina																										21.4727082	41.9650429
node/2759066732				restaurant	regional		?????????	Belvedere											outside															20.8011769	41.1123103
node/2818872887	C?o?je	1000	?????? ?????????? ?????	restaurant		Soka?e	??????	Sokache	08:00 - 00:00																									21.4145137	42.0051241
node/2835853871	??????		??????????	restaurant	regional		Emka												yes															20.958638	41.986155
node/2836787194				restaurant																														20.9426914	42.0062579
node/2883877896				restaurant			Every Day																											21.4522729	41.9914536
node/2891531722				restaurant			?????																											22.5889401	42.0244107
node/2891533000				restaurant	regional		Osmica																											22.587663	42.0179585
node/2891537201				restaurant	balkan;regional		"""Kaj Govedoto"" Restaurant"											yes	isolated	yes									100	no				22.5914449	42.0170338
node/2893230086				restaurant																														21.4579528	41.041597
node/2905985671				restaurant	regional;pizza;kebab;chicken		Shizik Restaurant											yes	outside	yes										yes				22.5886582	42.0178835
node/2905985814				restaurant	kebab;regional;barbecue		"""Koko"" Restaurant"											yes	outside										100	yes				22.5899229	42.0195336
node/2984088703				restaurant			Prestol		07:00-21:00	http://www.hotelprestol.com		wlan		+389 46277858																	3			20.8016787	41.0678423
node/2992064333				restaurant			Granit			http://www.hotelgranit.com.mk		wlan		+389 46207100	reservation@hotelgranit.com.mk																4			20.8009009	41.0666434
node/3005348015				restaurant																														20.8006074	41.1163875
node/3005348016				restaurant			Meydan																											20.8002909	41.116341
node/3020876346				restaurant		Staro Bure	????? ????	Staro Bure																										21.3236858	42.0597023
node/3026939349				restaurant																														20.599321	41.6107279
node/3026939356				restaurant																														20.7583652	41.7030313
node/3062640565				restaurant	regional																													21.264369	41.0314361
node/3085981445				restaurant	Spécialités_Locales		Dva Bisera																											20.8031982	41.0459402
node/3100113750	?????	6000	??????? ??????	restaurant	regional		?op???a	Fortuna	Mo-Su 07:00-24:00										outside															20.8026136	41.1140172
node/3101726040	C?o?je	1000	????????	restaurant	regional		??????? ??	Beerhouse AN	Mo-Sa 09:00-24:00; Su 12:00-24:00	http://pivnicaan.mk/		wlan		+389 02 321 2111	pivnicaan@yahoo.com			yes	separated		yes	yes		yes	yes	yes								21.4366005	42.0000179
node/3109618758				restaurant																														22.5004906	41.1429058
node/3162746561	Radovis	2420	??? ???????	restaurant	italian		Target				no							yes	no	no														22.460188	41.639759
node/3162749461	Radovis	2420	??? 8?? ?????????	restaurant	italian		Jocker pizza				no	wlan						yes	no	yes														22.460412	41.640957
node/3162751061	Radovis	2420	??? 8?? ?????????	restaurant	italian		Getsbi pizza				no							yes	no	yes														22.461378	41.640184
node/3162755761	Radovis	2420	?????????	restaurant	barbecue		Vrteska				no	no						no	no	no														22.465724	41.634656
node/3162763261				restaurant	barbecue		Gone				yes	no						no	no	yes														22.4648612	41.6332038
node/3162772765				restaurant	barbecue		Sopka					no						yes	no	yes														22.46449	41.633496
node/3162773865				restaurant	barbecue						no	no						no	no	yes														22.46373	41.635577
node/3162778861				restaurant	barbecue		Karagjoz				limited							yes	no	yes														22.462943	41.636566
node/3162791061				restaurant	barbecue		Magmar											no	no															22.44631	41.629596
node/3162794862				restaurant	barbecue		Beverli hils											no	no	yes														22.461327	41.639065
node/3162794863				restaurant	barbecue		Shona					no						yes	no	yes														22.462186	41.639133
node/3162794961				restaurant	italian		Santa Maria pizza																											22.456789	41.633895
node/3162795861				restaurant	regional		Makedonsko Sonce					no						no	no	yes														22.463272	41.637611
node/3162796461				restaurant	barbecue		Lastik											no	no	yes														22.462199	41.63925
node/3187744343				restaurant	barbecue							wlan						no	no	yes														22.46373	41.63951
node/3187744351				restaurant	barbecue		Lipa					no						yes	no	yes														22.465528	41.637782
node/3187745933				restaurant	barbecue		Maslac					no						yes	no	yes														22.46306	41.638767
node/3187758521				restaurant	barbecue							no						no	no	yes														22.460403	41.638283
node/3341289789	??????	1000	??????????	restaurant			Damaskino																											21.4297981	41.9925716
node/3415004757				restaurant																														21.4510186	42.0618189
node/3428427693				restaurant	italian		Pizzeria Americano					wlan						yes	outside															20.800047	41.11542
node/3428428993				restaurant			Cuna																											20.800088	41.115966
node/3484100384	??????			restaurant			Dal Fufo - Galija																											21.4231542	41.9917018
node/3505013893	??????	1000	11 ????????	restaurant	kebab		Destan		08:00-23:00		yes							yes	separated															21.4319604	41.9947506
node/3505013993	??????	1000	11 ????????	restaurant	italian	La Terrazza	?? ??????		"08:00-24:00, Fr-Sa 08:00-01:00"		yes			+389 2 3113380				yes	separated															21.4317257	41.9950911
node/3506695093				restaurant	italian		Brooklyn Lounge Bar		08:00-00:00; Fr-Sa 08:00-01:00		yes							yes	separated															21.3910004	42.0045421
node/3536179577		1000	?????????? ???????? ?????????	restaurant			??????????	Nostalgija				wlan		38923060708																				21.4099065	41.9953743
node/3647039848				restaurant			Exclusive																											21.733628	42.1208566
node/3647048030				restaurant		Terazza	??????																											21.7448727	42.1214792
node/3648714485	C?o?je	1000	??????? 8-?? ?????????	restaurant			????????	Barbakan	08:00-01:00									yes																21.4063144	42.0062651
node/3664638120				restaurant			????? ????	Pilav Tepe																										22.3171977	41.6245987
node/3671888433				restaurant			?????																											20.8820185	42.0113442
node/3695356159	???????	2320	?. ?. ????????	restaurant	regional		???????? ??????	Restaurant Libero											outside															22.775975	41.9670002
node/3696549082				restaurant			??????	Antika																										22.7727421	41.9665628
node/3696549083	???????	2320	?. ?. ????????	restaurant			??? ??????	Kaj Bubeto																										22.7743723	41.9671309
node/3696549088	???????	2320	?????? ????	restaurant	pizza		???????? ?????	Pizza bar Palma				wlan																						22.7714652	41.9655104
node/3696549089	???????	2320	?. ?. ????????	restaurant	pizza		????????	Pizza bar Panorama																										22.7756155	41.9667157
node/3696549091				restaurant			???????? Iceberg	Pizza bar - Iceberg																										22.7729809	41.9663111
node/3696549092				restaurant			?????	Vigor																										22.7732345	41.9664629
node/3699318356				restaurant			???????? ????	Restaurant Trla																										22.772658	41.9641901
node/3699318369				restaurant			Gostilnica Zvon-Trejd	Kaj Moco				wlan																						22.7736839	41.963414
node/3707090923				restaurant	regional		????? ??? ????																											21.4170693	41.997226
node/3725959075				restaurant																														20.7458417	40.9154158
node/3751301960				restaurant	regional		???????? ????	Restaurant Bella																										21.4591155	41.9191256
node/3784770415				restaurant			?????????																											22.6153456	41.5162501
node/3786106943				restaurant			??????																											22.2451062	41.6337365
node/3822688281				restaurant			??? ????	Kaj Chome																										21.2166228	41.5068787
node/3826400404				restaurant			???????	Riviera																										20.801555	41.1119481
node/3826400416				restaurant			?? ????	La Bella																										20.8039749	41.1104511
node/3826400434				restaurant			Royal View																											20.8052329	41.109536
node/3830455732				restaurant			Pizza Amica																											21.4725098	41.9824716
node/3832475135				restaurant			?????																											21.4427246	41.9922973
node/3832475147				restaurant			??? ?????																											21.4422139	41.9922032
node/3832555934				restaurant			????? ???? ?????	Dedo Ilija																										21.2494143	41.545315
node/3909066219				restaurant			??? ?????																											21.4010837	42.0084895
node/3921774262				restaurant	italian		casa leone																											20.8866832	42.0138371
node/3930911802	Tetovo	1200	?????? ????	restaurant	pizza		Restaurant Sirena		07:00- 24:00					+389 44 335 701					isolated	yes									150	no				20.9750309	42.0077518
node/3932033588				restaurant	pizza		Ribimiluss																											21.4037096	42.0818924
node/3951819586				restaurant	regional		??????		9:00-24:00		limited	yes							no															21.4093282	41.9748528
node/4004645106	C?o?je	1000	?????? ?????	restaurant	chinese	Peking Garden	?????? ??????		Mo-Sa 11:00-24:00; Su 12:00-23:00	www.pekinggarden.mk				+389 2 3221173	reservation@pekinggarden.mk																			21.4301301	41.9957324
node/4016557277	Skopje	1000	Boulevard Jane Sandanski	restaurant	italian		Campione lounge Bar		Mo-Su 08:00-01:00					+389 70 250 261																				21.4667276	41.9856123
node/4016557278	Skopje	1000	Boulevard Jane Sandanski	restaurant	french		DejaVu Lounge		Mo-Su 08:00-01:00																									21.4661426	41.9859376
node/4101107990			????? ???????	restaurant			Makedonska sofra		Mo-Sa 08:00-01:00			wlan		38978929010																				21.4365756	41.9871974
node/4110147399				restaurant	balkan		???? ????? ???? ?????																											21.4448873	42.1382444
node/4126731965				restaurant	international		Sky ??????????	Sky Restaurant																										21.434577	41.9973163
node/4149490289	??????	1000	??????????	restaurant	mexican		Amigos ??????????? ???????	Amigos Mexican Cantina	"Mo-Th 08:00-24:00, Fr,Sa 08:00-01:00, Su 10:00-24:00"	http://www.amigos.com.mk/	yes			+389 71 230314	info@amigos.com.mk			yes	outside	yes														21.4300742	41.9933026
node/4154573189				restaurant	burger;sandwich;breakfast;ice_cream;tea;cake;coffee_shop;pasta;pizza;diner		Era		Mo-Su 09:00-24:00			wlan																						20.9614188	41.9995695
node/4154574089				restaurant	burger;sandwich;ice_cream;grill;cake;coffee_shop;pasta;greek;balkan;pancake;pizza;fish_and_chips;diner;italian_pizza;fish;hot_dog;breakfast;tea;italian		Restaurant Boss		24-Jul			wlan	????????? ????																					20.961125	41.9976539
node/4180615629				restaurant																														21.13865	40.893731
node/4190335990				restaurant			Restaurant Oaza																											20.9734955	41.8453568
node/4194683692				restaurant																														22.5224464	41.147343
node/4195733217	C?o?je	1000	??? 13 ???????	restaurant	international		???? ?????	Soul-Kitchen	"Mo-Th 08:00-24:00, Fr,Sa 08:00-01:00, Su 10:00-24:00"									yes	outside															21.4338587	41.9955972
node/4239053639				restaurant			Beta																						600					21.4307185	42.0229923
node/4247199848				restaurant	sandwich;balkan;breakfast;pizza;kebab;local;pasta;coffee_shop;ice_cream		Classic Restaurant		Mo-Su 07:00-00:00			wlan																						22.1911884	41.7375454
node/4252577296				restaurant			Via Ignatia																											20.5959852	41.2357204
node/4253086993		6000	7 ???????	restaurant			Dr. Falafel		"Mo-Sa 09:30-22:30, Su 16:00-23:00"					+389 77 897 167																				20.8011081	41.1166205
node/4253210327				restaurant			?????? ??????																											21.4212497	41.9495659
node/4267161773				restaurant			Restaurant Emporium		"Mo-Th 08:00-24:00, Fr-Sa 08:00-01:00, Su 08:00-24:00"					+389 78 388 265																				20.9894268	42.0041795
node/4267660935				restaurant	steak_house		Fontana Grill		Mo-Su 08:00-24:00					+389 70 664 471																				20.989468	42.0042478
node/4270352289		1300	??. ????? ? ???????	restaurant	burger;sandwich;regional;international;grill;coffee_shop;pasta;balkan;pancake;pizza;fish_and_chips;diner;chicken;italian_pizza;fish;seafood;mediterranean;italian;fine_dining		Restoran Prado		Mo-Th 08:00-24:00; Fr-Sa 08:00-01:00; Su 10:00-24:00	https://m.facebook.com/prado.kumanovo/		wlan		38931430100																				21.7206493	42.1320465
node/4275843195				restaurant			?????																											21.4160063	41.9969599
node/4283863605				restaurant			???????? ??????																											20.7972577	41.1124024
node/4292369647				restaurant	chicken;kebab;grill;local;balkan		Kaj Dzek					wlan																						21.6186125	41.9371686
node/4302211290				restaurant	fish		????																											21.4002154	42.0030463
node/4315772629				restaurant			Vavilon																											21.34668	41.0130595
node/4318054807				restaurant	fish		Elita																											22.6366903	41.231591
node/4318400296			??????? ?????	restaurant			?????? ???????																											21.4655483	41.9915744
node/4327921318				restaurant	thai		Thong Thai		Sa-Su 10:00-01:00					38971661234					outside	yes														21.3986642	42.0034137
node/4346542839				restaurant			"Lounge Bar & Restaurant ""Square 21"""					wlan																						21.4301208	41.9927317
node/4347356991			?????? ??????	restaurant	balkan		??????	Cardak		http://www.cardak.mk		wlan	??????	38978465474	info@cardak.mk																			22.8581787	41.7058839
node/4355675606				restaurant			???????? ???????																											21.4826074	41.9788465
node/4356193798				restaurant			???????????? ????						???????????? ????																					22.1966748	41.7388546
node/4360780391				restaurant	regional		??????? ????? ??????			https://www.facebook.com/DomasnakujnaPreciz-109208438394027/			??????? ????? ??????																					22.1926047	41.7369559
node/4360781689				restaurant			????																											22.1922397	41.7382087
node/4363534190				restaurant																														22.1903941	41.737641
node/4375878893		1200		restaurant			11					wlan	11																					20.9746292	42.0073877
node/4376827005				restaurant			???? 2	Bane 2																										20.804929	41.0035617
node/4380494182	??????	7500	????? ?????????-?????	restaurant	barbeque		????? ??????	Skara Stojche					????? ??????	38948419100																				21.552257	41.3431784
node/4405634704				restaurant			???????? ??? ?????																											20.7573957	41.7018616
node/4406532855				restaurant	local		???? ???????	Vila Veranda											outside															21.3679919	41.9953546
node/4407370494				restaurant			???????????	equestrian				wlan	???????????																					21.4520843	41.9883207
node/4408677899				restaurant			??? ????? ????																											20.756666	41.7014251
node/4422047259				restaurant			???? ????																											21.0067043	41.1085785
node/4429141992				restaurant			Brioni 2008	Brioni 2008					Brioni 2008																					20.7986796	41.1168867
node/4429142391				restaurant			Exclusive Art Cuisine	Exklusive Art Cuisine					Exklusive Art Cuisine																					20.7985841	41.1169309
node/4430465598	Tetovo	1220;1200	Ilindenska	restaurant			?????? - ?????? ?? ?????????	KUBIKS - Animation Studios	24-Jul	http://www.kub-x.com/	limited	no																						20.971466	42.008963
node/4436518191				restaurant			Kaj Serdarot						Kaj Cerdarot																					21.4362461	41.9996618
node/4436534289				restaurant			Destan						Destan																					21.436081	41.9996701
node/4436534489				restaurant			????????? ?????	Austrian Palace					Austrian Palace																					21.4355402	41.9994953
node/4448736389				restaurant			????????	Chamovski					????????																					22.6433683	41.4433529
node/4457471314				restaurant			Royal Food Zlate																											21.5888229	41.9864102
node/4459578969	C?o?je	1000	??? 13 ???????	restaurant	international	Amica	?????																											21.4355402	41.9949989
node/4471884330				restaurant	international;italian;fish		Four					wlan						yes	outside															21.427293	42.0059792
node/4481662566				restaurant	italian	Dion	????																											21.4335119	41.995703
node/4489456010	Mavrovo and Rostushe	1254		restaurant	regional;coffee_shop;sandwich;ice_cream;international;turkish;steak_house		House of Miyaks Ethno Restaurant		Mo-Su 09:00-21:00	http://kukjanamijacite.mk	yes	wlan	???? ?? ????????	+389 070 378 333	contact@kukjanamijacite.mk			yes	isolated	yes									200					20.607177	41.6226607
node/4491144570	C?o?je	1000	?????? ????????	restaurant	regional;international;barbecue		???????? ???? ????	Restaurant Bure Srna	Mo-Su 08:00-00:00	https://buresrna.mk/		wlan		38923066676				yes	outside	yes														21.3936186	42.0045887
node/4502450789		1221	101	restaurant			Restoran Elita	Restaurant Elita					Restoran Elita																					20.9272881	41.9444009
node/4502463695				restaurant			Nes Komerc	Nes Komerc					Nes Komerc																					20.9398801	41.976507
